Binomial.1.2,k_medoid_herbivore,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Notes,Food.Handling.Source,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes
Acratocnus_odontrigonus,yes,Reported,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Estimated Dental wear (microwear) Species,"Resar, N. A., Hall, M., Green, J. L., & Afee, R. K. M. C. (2013). Reconstructing paleodiet in ground sloths ( Mammalia, Xenarthra) using dental microwear analysis. Kirtlandia, (58), 61â€“72.",NA,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,"Grass, A.D. 2014. Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths",NA,NA,,NA,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",0,0,0,0,NA,NA,NA,absent,Morphology,,Pujos et al. 2012,NA
Acratocnus_ye,yes,Reported,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Estimated Expert Genus,"Pujos, F., Gaudin, T. J., de Iuliis, G., & Cartelle, C. (2012). Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution, 19(3), 159â€“169. https://doi.org/10.1007/s10914-012-9189-y",This is based on width of mandibular symphysis relative to mandibular length. This is an unusual measure so we classify it as expert judgement.,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,,NA,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,NA,NA,NA,NA,NA,absent,Morphology,,Pujos et al. 2012,NA
Addax_nasomaculatus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1,33",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Aepyceros_melampus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Agalmaceros_blicki,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Expert Species,"Smith, F. A., Smith, R. E. E., Lyons, S. K., & Payne, J. L. (2018). Body size downgrading of mammals over the late Quaternary. Science, 360(6386), 310-313.",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Ailuropoda_melanoleuca,no,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,9,"Bamboo is seen as browse, rather than a grass (taxonomically more correct) because it is lignified and hence closer to woody vegetation. Furthermore, the feeding strategy matches a concentrate selecter and not a bulk feeder",Reported Order,2,NA,14,NA,Mouth + Hands,,https://animaldiversity.org/accounts/Ailuropoda_melanoleuca/,soft,NA,Kubo et al. 2019,0,0,0,3,Solitary/pairs,NA,9,rooting,NA,NA,9,NA
Ailurops_ursinus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,37,NA,Reported Family,2,NA,37,NA,,,NA,soft,,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,37,,,,,NA
Alcelaphus_buselaphus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,11,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Alces_alces,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Pre-hensile lip,,Breda 2008,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,1,,,,,NA
Amblyrhiza_inundata,yes,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Imputed,No data found,,Assumed based on extant relatives,NA,"we included all rodents, however Hume (2002) only mentions 3 subOrder.1.2s, however, he does not specify which ones are not caecum fermenters",Inferred,No data,NA,,NA,soft,,"Cope 1883, The Extinct Rodentia of North America. American Naturalist",NA,NA,NA,NA,NA,NA,NA,,,,,NA
Ammodorcas_clarkei,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,0,2,0,0,Gregarious,NA,11,,,,,NA
Ammotragus_lervia,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1,29",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Antidorcas_australis,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Expert Species,"Tyler Faith, J., & Behrensmeyer, A. K. (2013). Climate change and faunal turnover: testing the mechanics of the turnover-pulse hypothesis with South African fossil data. https://doi.org/10.1666/12043",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
